dataset,pocket,regime,seed,dca,naive_fusion,raw_gap,isolation_forest,slice_finder
taiwan_credit,ball,clean,2,0.6807672961875308,0.9276830495666983,0.8827626341135812,0.6503300560721446,0.8630217373029546
taiwan_credit,ball,clean,3,0.6553603900229901,0.9635975461823727,0.9315745329775066,0.657146223962846,0.8954267031735581
taiwan_credit,ball,clean,4,0.6317590899527616,0.9600261295358037,0.9303823894545542,0.6316566803785578,0.9641162425300227
taiwan_credit,ball,weak,0,0.5850508030443278,0.7922281583135906,0.6731411501175736,0.6471927468941568,0.5785061113668126
taiwan_credit,ball,weak,1,0.5604286154179123,0.7047081466467946,0.6165088878041576,0.6024005175747369,0.814351877439194
taiwan_credit,ball,weak,2,0.5798734301262495,0.725900426311783,0.6572623250270886,0.618895657880498,0.8234196530707312
taiwan_credit,ball,weak,3,0.5160459339872226,0.7157841472290576,0.6149160688085584,0.6402384500745157,0.8678762462597767
taiwan_credit,ball,weak,4,0.5689581021764242,0.7770315992752839,0.6609950495072496,0.6559154417382411,0.950555914466409
german_credit,axis,clean,0,0.5144671864847303,0.623196881091618,0.5974528914879792,0.7046588693957115,0.8224528914879792
german_credit,axis,clean,1,0.5317381416504223,0.6164100064977258,0.5952761533463288,0.6970955165692008,0.8151072124756336
german_credit,axis,clean,2,0.5352599090318388,0.6443697205977907,0.5974723846653671,0.6835997400909681,0.8244671864847304
german_credit,axis,clean,3,0.5324236517218974,0.6321702404158545,0.5965497076023392,0.7350877192982456,0.8163970110461338
german_credit,axis,clean,4,0.5,0.6328492527615335,0.6073164392462639,0.6997595841455492,0.827244964262508
german_credit,axis,weak,0,0.5098765432098765,0.5580311890838205,0.5381221572449643,0.5754061078622482,0.6244411955815465
german_credit,axis,weak,1,0.540692007797271,0.5511565951916829,0.5510851202079272,0.5704223521767381,0.6902696556205328
german_credit,axis,weak,2,0.5024593892137751,0.6041585445094217,0.5863092917478882,0.6628914879792073,0.6684372969460688
german_credit,axis,weak,3,0.5165659519168291,0.5990513320337881,0.5813320337881741,0.6804873294346979,0.7346913580246913
german_credit,axis,weak,4,0.5,0.5580116959064327,0.5846458739441195,0.6187459389213775,0.7249707602339183
german_credit,ball,clean,0,0.5095351609058403,0.6608725264474864,0.6224283567393896,0.5625226719179147,0.6806387373314874
german_credit,ball,clean,1,0.5066701707889458,0.6452483361588404,0.6352356769001843,0.6059713204865301,0.8603372841078183
german_credit,ball,clean,2,0.5706882639048261,0.7356620940338616,0.7139525759000289,0.5925347389305518,0.9022312868765686
german_credit,ball,clean,3,0.5404430000222092,0.6243087378497028,0.6409508509834986,0.5883668075718653,0.8731260965805197
german_credit,ball,clean,4,0.5596946971772074,0.7341148513092339,0.7277667142931175,0.6703188504504771,0.8120544274091458
german_credit,ball,weak,0,0.5068737553579756,0.6011963369583725,0.5471538877249609,0.4540157981625567,0.5972690055449034
german_credit,ball,weak,1,0.49089791899555074,0.538781009631401,0.5193923555845098,0.5304525499892656,0.5590543311691677
german_credit,ball,weak,2,0.5177451713441763,0.5365119670711214,0.5325624264319397,0.508265533502617,0.60757038473782
german_credit,ball,weak,3,0.5137475107159514,0.5394731971661028,0.5216354873814583,0.5417644489520947,0.7696496124490114
german_credit,ball,weak,4,0.5229606378489624,0.5902805025207472,0.5448737405518252,0.5357531518592824,0.7389601640521473
